Report Overview,,,,,,,,,,,,,,,,,,
Period : 7 Day,Time Start : 2026-05-09,Time End : 2026-05-15,,,,,,,,,,,,,,,,
วันที่,รายการ,Density,คงเหลือ Tank เข้มข้น (L),คงเหลือเข้มข้นรวมสูตร (Kg),ผลต่างเข้มข้นใน Tank ระหว่างวัน (Kg),รับเข้าใหม่ (Kg),ตัวเลขมิเตอร์ เคมี (L),ตัวเลขมิเตอร์น้ำ RO (L),ผลต่างมิเตอร์ระหว่างวัน เคมี (L),ผลต่างมิเตอร์ระหว่างวัน น้ำ RO (L),คงเหลือ Tank Mix (L),ผลต่างใน Tank Mix ระหว่างวัน (L),คงเหลือ Tank Store (L),ผลต่างใน Tank Store ระหว่างวัน (L), ,ตัวเลขมิเตอร์ (L),ผลต่างมิเตอร์ ระหว่างวัน (L),ผลต่างมิเตอร์ ทั้งวัน (L)
09/05/2026,กรดเกลือ,1.51,17110,25836.1,19046.8,15000,756345,12490924,2751,46007,8670,-20,20050,-240,PD1,5388138,20195,
,,,,,,,,,,,,,,,PD2,3273966,20324,
,,,,,,,,,,,,,,,PD3,4624779,8417,48936
09/05/2026,โซดาไฟ,1.17,22610,26453.7,5342,14030,1251488,6829619,4300,22678,9890,-10,17420,-1220,PD1,2887031,9134,
,,,,,,,,,,,,,,,PD2,2569450,16090,
,,,,,,,,,,,,,,,PD3,2052755,4465,29689
,,,,,,,,,,,,,,,ES,719740,0,29689
10/05/2026,กรดเกลือ,1.51,15190,22936.9,17899.2,15000,758310,12523808,1965,32884,8690,20,15540,-4510,PD1,5398230,10092,
,,,,,,,,,,,,,,,PD2,3284126,10160,
,,,,,,,,,,,,,,,PD3,4644324,19545,39797
10/05/2026,โซดาไฟ,1.17,19470,22779.9,17703.8,14030,1254713,6846642,3225,17023,9880,-10,17110,-310,PD1,2891566,4535,
,,,,,,,,,,,,,,,PD2,2577736,8286,
,,,,,,,,,,,,,,,PD3,2061123,8368,21189
,,,,,,,,,,,,,,,ES,719740,0,21189
11/05/2026,กรดเกลือ,1.51,13270,20037.7,17899.2,15000,760275,12556610,1965,32802,8660,-30,20840,5300,PD1,5419234,21004,
,,,,,,,,,,,,,,,PD2,3284126,0,
,,,,,,,,,,,,,,,PD3,4652736,8412,29416
11/05/2026,โซดาไฟ,1.17,17390,20346.3,16463.6,14030,1256864,6857965,2151,11323,9900,20,16070,-1040,PD1,2903472,11906,
,,,,,,,,,,,,,,,PD2,2577912,176,
,,,,,,,,,,,,,,,PD3,2065181,4058,16140
,,,,,,,,,,,,,,,ES,719740,0,16140
12/05/2026,กรดเกลือ,1.52,19790,30080.8,4956.9,14950,763419,12609207,3144,52597,8660,0,16740,-4100,PD1,5439424,20190,
,,,,,,,,,,,,,,,PD2,3304449,20323,
,,,,,,,,,,,,,,,PD3,4672406,19670,60183
12/05/2026,โซดาไฟ,1.17,20490,23973.3,10403,13850,1265462,6903347,8598,45382,9910,10,19160,3090,PD1,2912527,9055,
,,,,,,,,,,,,,,,PD2,2593950,16038,
,,,,,,,,,,,,,,,PD3,2073523,8342,33435
,,,,,,,,,,,,,,,ES,738763,19023,52458
13/05/2026,กรดเกลือ,1.52,16710,25399.2,19631.6,14950,766563,12661806,3144,52599,8670,10,19510,2770,PD1,5465500,26076,
,,,,,,,,,,,,,,,PD2,3314613,10164,
,,,,,,,,,,,,,,,PD3,4689229,16823,53063
13/05/2026,โซดาไฟ,1.17,16300,19071,18752.3,13850,1269761,6926039,4299,22692,9890,-20,17390,-1770,PD1,2926155,13628,
,,,,,,,,,,,,,,,PD2,2602633,8683,
,,,,,,,,,,,,,,,PD3,2081965,8442,30753
,,,,,,,,,,,,,,,ES,738763,0,30753
14/05/2026,กรดเกลือ,1.51,23550,35560.5,4788.7,14980,769314,12707797,2751,45991,8670,0,18500,-1010,PD1,5475592,10092,
,,,,,,,,,,,,,,,PD2,3334930,20317,
,,,,,,,,,,,,,,,PD3,4708861,19632,50041
14/05/2026,โซดาไฟ,1.17,23710,27740.7,5180.3,14010,1274062,6948717,4301,22678,9900,10,16450,-940,PD1,2930723,4568,
,,,,,,,,,,,,,,,PD2,2618745,16112,
,,,,,,,,,,,,,,,PD3,2090157,8192,28872
,,,,,,,,,,,,,,,ES,738763,0,28872
